OperonID	GI	Synonym	Start	End	Strand	Length	COG_number	Product
1183267	254160167	ECB_00046	47383	48324	+	313	COG2025C	putative electron transfer flavoprotein FixB
1183267	254160166	ECB_00045	46598	47368	+	256	COG2086C	putative electron transfer flavoprotein FixA
1183268	254160172	ECB_00051	51964	53826	+	620	COG0475P	glutathione-regulated potassium-efflux system protein KefC
1183268	254160171	ECB_00050	51441	51971	+	176	COG2249R	glutathione-regulated potassium-efflux system ancillary protein KefF
1183269	254160179	ECB_00058	58950	61304	-	784	COG1452M	organic solvent tolerance protein
1183269	254160178	ECB_00057	57611	58897	-	428	COG0760O	peptidyl-prolyl cis-trans isomerase SurA
1183269	254160177	ECB_00056	56622	57611	-	329	COG1995H	4-hydroxythreonine-4-phosphate dehydrogenase
1183269	254160176	ECB_00055	55804	56625	-	273	COG0030J	dimethyladenosine transferase
1183269	254160175	ECB_00054	55424	55801	-	125	COG2967P	ApaG protein
1183269	254160174	ECB_00053	54575	55417	-	280	COG0639T	diadenosine tetraphosphatase
1183270	254160182	ECB_00061	63162	66068	-	968	COG0553KL	ATP-dependent helicase HepA
1183270	254160181	ECB_00060	62491	63150	-	219	COG0564J	23S rRNA/tRNA pseudouridine synthase A
1183271	254160186	ECB_00065	71152	72852	-	566	COG1069C	ribulokinase
1183271	254160185	ECB_00064	69639	71141	-	500	COG2160G	L-arabinose isomerase
1183272	254160188	ECB_00067	74155	74919	+	254	COG0586S	inner membrane protein
1183272	254160187	ECB_00066	73191	74069	+	292	COG2207K	DNA-binding transcriptional regulator AraC
1183273	254160191	ECB_00070	77301	78284	-	327	COG4143H	thiamine transporter substrate binding subunit
1183273	254160190	ECB_00069	75715	77325	-	536	COG1178P	thiamine transporter membrane protein
1183273	254160189	ECB_00068	75033	75731	-	232	COG3840H	thiamine transporter ATP-binding subunit
1183274	254160197	ECB_00076	84762	86333	-	523	COG0119E	2-isopropylmalate synthase
1183274	254160196	ECB_00075	83671	84762	-	363	COG0473CE	3-isopropylmalate dehydrogenase
1183274	254160195	ECB_00074	82268	83668	-	466	COG0065E	isopropylmalate isomerase large subunit
1183274	254160194	ECB_00073	81652	82257	-	201	COG0066E	isopropylmalate isomerase small subunit
1183275	254160201	ECB_00080	90161	90652	+	163	COG0440E	acetolactate synthase 3 regulatory subunit
1183275	254160200	ECB_00079	88434	90158	+	574	COG0028EH	acetolactate synthase 3 catalytic subunit
1183276	254160217	ECB_00096	108109	109260	+	383	COG0206D	cell division protein FtsZ
1183276	254160216	ECB_00095	106786	108048	+	420	COG0849D	cell division protein FtsA
1183276	254160215	ECB_00094	105959	106789	+	276	COG1589M	cell division protein FtsQ
1183276	254160214	ECB_00093	105037	105957	+	306	COG1181M	D-alanine--D-alanine ligase
1183276	254160213	ECB_00092	103569	105044	+	491	COG0773M	UDP-N-acetylmuramate--L-alanine ligase
1183276	254160212	ECB_00091	102448	103515	+	355	COG0707M	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
1183276	254160211	ECB_00090	101207	102451	+	414	COG0772D	cell division protein FtsW
1183276	254160210	ECB_00089	99891	101207	+	438	COG0771M	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
1183276	254160209	ECB_00088	98806	99888	+	360	COG0472M	phospho-N-acetylmuramoyl-pentapeptide-transferase
1183276	254160208	ECB_00087	97454	98812	+	452	COG0770M	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
1183276	254160207	ECB_00086	95970	97457	+	495	COG0769M	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase
1183276	254160206	ECB_00085	94217	95983	+	588	COG0768M	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)
1183276	254160205	ECB_00084	93836	94201	+	121	COG3116D	cell division protein FtsL
1183276	254160204	ECB_00083	92898	93839	+	313	COG0275M	S-adenosyl-methyltransferase MraW
1183276	254160203	ECB_00082	92438	92896	+	152	COG2001S	cell division protein MraZ
1183277	254160220	ECB_00099	111083	113788	+	901	COG0653U	preprotein translocase subunit SecA
1183277	254160219	ECB_00098	110509	111021	+	170	-	SecA regulator SecM
1183278	254160224	ECB_00103	115403	116023	-	206	COG0237H	dephospho-CoA kinase
1183278	254160223	ECB_00102	114660	115403	-	247	COG4582S	hypothetical protein
1183278	254160222	ECB_00101	114453	114650	-	65	COG3024S	zinc-binding protein
1183279	254160228	ECB_00107	119913	120353	-	146	COG4969NU	putative major pilin subunit
1183279	254160227	ECB_00106	118518	119903	-	461	COG2804NU	hypothetical protein
1183279	254160226	ECB_00105	117326	118528	-	400	COG1459NU	type IV pilin biogenesis protein
1183280	254160231	ECB_00110	122085	122939	+	284	COG3725V	regulatory protein AmpE
1183280	254160230	ECB_00109	121537	122088	+	183	COG3023V	N-acetyl-anhydromuranmyl-L-alanine amidase
1183281	254160235	ECB_00114	128499	130391	+	630	COG0508C	dihydrolipoamide acetyltransferase
1183281	254160234	ECB_00113	125821	128484	+	887	COG2609C	pyruvate dehydrogenase subunit E1
1183282	254160241	ECB_00120	138401	139267	-	288	COG0421E	spermidine synthase
1183282	254160240	ECB_00119	137591	138385	-	264	COG1586E	S-adenosylmethionine decarboxylase
1183283	254160248	ECB_00127	146505	147275	+	256	COG1682GM	putative transporter subunit membrane component of ABC superfamily
1183283	254160247	ECB_00126	145582	146508	+	308	COG1131V	putative transporter subunit ATP-binding protein of ABC superfamily
1183284	254160254	ECB_00133	151610	152404	-	264	COG0413H	3-methyl-2-oxobutanoate hydroxymethyltransferase
1183284	254160253	ECB_00132	150747	151598	-	283	COG0414H	pantoate--beta-alanine ligase
1183285	254160260	ECB_00139	158305	159045	-	246	COG3121NU	putative chaperone protein EcpD
1183285	254160259	ECB_00138	155670	158270	-	866	COG3188NU	putative outer membrane usher protein
1183285	254160258	ECB_00137	155084	155653	-	189	COG3539NU	putative fimbrial-like adhesin protein
1183285	254160257	ECB_00136	154467	155069	-	200	-	putative fimbrial-like adhesin protein
1183285	254160256	ECB_00135	153844	154440	-	198	COG3539NU	putative fimbrial-like adhesin protein
1183285	254160255	ECB_00134	152517	153863	-	448	COG3539NU	putative fimbrial-like adhesin protein
1183286	254160263	ECB_00142	160580	161944	-	454	COG0617J	poly(A) polymerase I
1183286	254160262	ECB_00141	160104	160583	-	159	COG0801H	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
1183287	254160265	ECB_00144	163000	163455	-	151	COG1734T	RNA polymerase-binding transcription factor
1183287	254160264	ECB_00143	162037	162963	-	308	COG0008J	glutamyl-Q tRNA(Asp) synthetase
1183288	254160267	ECB_00146	164352	164882	-	176	COG1514J	2'-5' RNA ligase
1183288	254160266	ECB_00145	163633	164337	-	234	COG1489R	sugar fermentation stimulation protein A
1183289	254160273	ECB_00152	174304	176286	+	660	COG0609P	iron-hydroxamate transporter permease
1183289	254160272	ECB_00151	173417	174307	+	296	COG0614P	iron-hydroxamate transporter substrate-binding subunit
1183289	254160271	ECB_00150	172620	173417	+	265	COG1120PH	iron-hydroxamate transporter ATP-binding subunit
1183289	254160270	ECB_00149	170326	172569	+	747	COG1629P	ferrichrome outer membrane transporter
1183290	254160276	ECB_00155	179452	179796	+	114	COG0316S	iron-sulfur cluster insertion protein ErpA
1183290	254160275	ECB_00154	177949	179370	+	473	COG0038P	chloride channel protein
1183291	254160279	ECB_00158	181297	181995	-	232	COG0775F	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
1183291	254160278	ECB_00157	180504	181304	-	266	COG0614P	vitamin B12-transporter protein BtuF
1183291	254160277	ECB_00156	179843	180466	-	207	COG2860S	hypothetical protein
1183292	254160287	ECB_00166	191554	192348	-	264	COG0024J	methionine aminopeptidase
1183292	254160286	ECB_00165	188820	191492	-	890	COG2844O	PII uridylyl-transferase
1183292	254160285	ECB_00164	187965	188789	-	274	COG2171E	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase
1183293	254160290	ECB_00169	194697	195422	+	241	COG0528F	uridylate kinase
1183293	254160289	ECB_00168	193699	194550	+	283	COG0264J	elongation factor Ts
1183294	254160292	ECB_00171	196363	197559	+	398	COG0743I	1-deoxy-D-xylulose 5-phosphate reductoisomerase
1183294	254160291	ECB_00170	195714	196271	+	185	COG0233J	ribosome recycling factor
1183295	254160296	ECB_00175	200770	203202	+	810	COG4775M	outer membrane protein assembly factor YaeT
1183295	254160295	ECB_00174	199388	200740	+	450	COG0750M	zinc metallopeptidase RseP
1183295	254160294	ECB_00173	198519	199376	+	285	COG0575I	CDP-diglyceride synthase
1183295	254160293	ECB_00172	197745	198506	+	253	COG0020I	undecaprenyl pyrophosphate synthase
1183296	254160304	ECB_00183	211463	212422	+	319	COG0825I	acetyl-CoA carboxylase carboxyltransferase subunit alpha
1183296	254160303	ECB_00182	207968	211450	+	1160	COG0587L	DNA polymerase III subunit alpha
1183296	254160302	ECB_00181	207335	207931	+	198	COG0164L	ribonuclease HII
1183296	254160301	ECB_00180	206190	207338	+	382	COG0763M	lipid-A-disaccharide synthase
1183296	254160300	ECB_00179	205402	206190	+	262	COG1043M	UDP-N-acetylglucosamine acyltransferase
1183296	254160299	ECB_00178	204943	205398	+	151	COG0764I	(3R)-hydroxymyristoyl-ACP dehydratase
1183296	254160298	ECB_00177	203813	204838	+	341	COG1044M	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
1183296	254160297	ECB_00176	203324	203809	+	161	COG2825M	periplasmic chaperone
1183297	254160307	ECB_00186	215173	216471	+	432	COG0037D	tRNA(Ile)-lysidine synthetase
1183297	254160306	ECB_00185	214719	215108	+	129	COG0346E	hypothetical protein
1183297	254160305	ECB_00184	212521	214662	+	713	COG1982E	lysine decarboxylase 2, constitutive
1183298	254160309	ECB_00188	216767	216967	-	66	-	hypothetical protein
1183298	254160308	ECB_00187	216520	216774	-	84	COG4568K	Rho-binding antiterminator
1183299	254160312	ECB_00191	218111	218821	+	236	COG3015MP	lipoprotein involved with copper homeostasis and adhesion
1183299	254160311	ECB_00190	217675	218097	+	140	COG1186J	peptidyl-tRNA hydrolase domain protein
1183299	254160310	ECB_00189	217133	217678	+	181	COG4681S	hypothetical protein
1183300	254160316	ECB_00195	222431	222835	-	134	-	outer membrane lipoprotein
1183300	254160315	ECB_00194	221727	222434	-	235	COG1720S	hypothetical protein
1183301	254160317	ECB_00196	222953	223768	-	271	COG1464P	DL-methionine transporter substrate-binding subunit
1183301	254160318	ECB_00197	223808	224461	-	217	COG2011P	DL-methionine transporter permease
1183301	254160319	ECB_00198	224454	225485	-	343	COG1135P	DL-methionine transporter ATP-binding subunit
1183302	254160323	ECB_00202	234046	234846	+	266	COG3021S	hypothetical protein
1183302	254160324	ECB_00203	234850	235473	+	207	COG2226H	putative S-adenosyl-L-methionine-dependent methyltransferase
1183303	254160325	ECB_00204	235521	236879	-	452	COG0741M	membrane-bound lytic murein transglycosylase D
1183303	254160326	ECB_00205	236951	237706	-	251	COG0491R	hydroxyacylglutathione hydrolase
1183304	254160331	ECB_00210	241312	241587	+	91	COG3677L	IS1 protein InsA
1183304	254160332	ECB_00211	241506	242009	+	167	COG1662L	IS1 protein InsB
1183304	254160333	ECB_00212	242011	242382	+	123	-	hypothetical protein
1183305	254160341	ECB_00220	250532	250810	-	92	COG3041S	putative toxin of the YafQ-DinJ toxin-antitoxin system
1183305	254160342	ECB_00221	250813	251073	-	86	COG3077L	putative antitoxin of YafQ-DinJ toxin-antitoxin system
1183306	254160345	ECB_00226	255461	256516	+	351	COG0389L	DNA polymerase IV
1183306	254160346	ECB_00227	256568	256861	+	97	COG2161D	putative antitoxin of the YafO-YafN toxin-antitoxin system
1183306	254160347	ECB_00228	256864	257262	+	132	-	putative toxin YafO
1183306	254160348	ECB_00229	257272	257724	+	150	COG3153R	hypothetical protein
1183307	254160349	ECB_00230	257958	258224	+	88	COG1690S	hypothetical protein
1183307	254160350	ECB_00231	258193	258693	+	166	COG1186J	peptide chain release factor-like protein
1183308	254160353	ECB_00234	261018	262262	+	414	COG0412Q	fermentation/respiration switch protein
1183308	254160354	ECB_00235	262320	262721	+	133	-	DNA-binding transcriptional regulator Crl
1183309	254160355	ECB_00236	262847	263122	+	91	COG3677L	IS1 protein InsA
1183309	254160356	ECB_00237	263041	263544	+	167	COG1662L	IS1 protein InsB
1183310	254160358	ECB_00239	264880	265983	+	367	COG0263E	gamma-glutamyl kinase
1183310	254160359	ECB_00240	265995	267248	+	417	COG0014E	gamma-glutamyl phosphate reductase
1183311	254160360	ECB_00241	267565	267975	-	136	COG0583K	putative transcriptional regulator
1183311	254160361	ECB_00242	267954	268910	-	318	COG1975O	hypothetical protein
1183311	254160362	ECB_00243	268920	271118	-	732	COG1529C	putative oxidoreductase with molybdenum-binding domain
1183311	254160363	ECB_00244	271115	272071	-	318	COG1319C	putative oxidoreductase with FAD-binding domain
1183311	254160364	ECB_00245	272068	272757	-	229	COG2080C	putative xanthine dehydrogenase iron-sulfur-binding subunit
1183312	254160367	ECB_00248	274677	275387	-	236	-	hypothetical protein
1183312	254160368	ECB_00249	275356	276999	-	547	-	putative receptor
1183312	254160369	ECB_00250	276989	279514	-	841	COG3188NU	putative aromatic compound dioxygenase
1183312	254160370	ECB_00251	279540	280208	-	222	-	hypothetical protein
1183312	254160371	ECB_00252	280266	280901	-	211	-	hypothetical protein
1183312	254160372	ECB_00253	280927	281517	-	196	COG2771K	putative regulator
1183313	254160377	ECB_00258	290375	290968	-	197	COG3059S	inner membrane protein
1183313	254160378	ECB_00259	290980	291216	-	78	-	hypothetical protein
1183314	254160381	ECB_00262	294257	294976	+	239	COG0247C	putative oxidoreductase
1183314	254160382	ECB_00263	294987	296414	+	475	COG1139C	putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain
1183314	254160383	ECB_00264	296407	297102	+	231	COG1556S	putative transporter
1183315	254160386	ECB_00267	298226	299896	-	556	COG2303E	choline dehydrogenase
1183315	254160387	ECB_00268	299910	301382	-	490	COG1012C	betaine aldehyde dehydrogenase
1183315	254160388	ECB_00269	301396	301983	-	195	COG1309K	transcriptional regulator BetI
1183316	254160393	ECB_00274	307929	308534	+	201	COG0666R	putative transcriptional regulator with ankyrin domain
1183316	254160394	ECB_00275	308574	309437	+	287	-	hypothetical protein
1183316	254160395	ECB_00276	309427	310974	+	515	COG0074C	putative acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain
1183316	254160396	ECB_00277	310974	312392	+	472	-	hypothetical protein
1183317	254160397	ECB_00278	312814	313764	+	316	COG0549E	putative carbamate kinase
1183317	254160398	ECB_00279	313774	315156	+	460	COG0402FR	putative deaminase
1183318	254160406	ECB_00287	322662	323831	+	389	COG0372C	methylcitrate synthase
1183318	254160407	ECB_00288	323865	325316	+	483	COG2079R	2-methylcitrate dehydratase
1183318	254160408	ECB_00289	325356	327242	+	628	COG0365I	propionyl-CoA synthetase
1183319	254160409	ECB_00290	327478	328737	+	419	COG1457F	cytosine permease
1183319	254160410	ECB_00291	328727	330010	+	427	COG0402FR	cytosine deaminase
1183320	254160412	ECB_00293	331355	332014	+	219	COG0288P	carbonic anhydrase
1183320	254160413	ECB_00294	332045	332515	+	156	COG1513P	cyanate hydratase
1183320	254160414	ECB_00295	332548	333702	+	384	COG2807P	putative cyanate transporter
1183321	254160415	ECB_00296	333805	334416	-	203	COG0110R	galactoside O-acetyltransferase
1183321	254160416	ECB_00297	334482	335735	-	417	COG2223P	galactoside permease
1183321	254160417	ECB_00298	335787	338861	-	1024	COG3250G	beta-D-galactosidase
1183322	254160418	ECB_00299	338984	340066	-	360	COG1609K	lac repressor
1183322	254160419	ECB_00300	340143	341090	-	315	COG1414K	DNA-binding transcriptional activator MhpR
1183323	254160420	ECB_00301	341167	342831	+	554	COG0654HC	3-(3-hydroxyphenyl)propionate hydroxylase
1183323	254160421	ECB_00302	342833	343777	+	314	-	3-(2,3-dihydroxyphenyl)propionate dioxygenase
1183323	254160422	ECB_00303	343780	344661	+	293	COG0596R	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase
1183323	254160423	ECB_00304	344671	345480	+	269	COG3971Q	2-keto-4-pentenoate hydratase
1183323	254160424	ECB_00305	345477	346427	+	316	COG4569Q	acetaldehyde dehydrogenase
1183323	254160425	ECB_00306	346424	347437	+	337	COG0119E	4-hydroxy-2-ketovalerate aldolase
1183324	254160428	ECB_00309	349893	350726	-	277	COG0627R	putative esterase
1183324	254160429	ECB_00310	350819	351928	-	369	COG1062C	alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase
1183324	254160430	ECB_00311	351963	352238	-	91	COG1937S	regulator protein FrmR
1183325	254160432	ECB_00313	353279	353782	-	167	COG1662L	IS1 protein InsB
1183325	254160433	ECB_00314	353701	353976	-	91	COG3677L	IS1 protein InsA
1183326	254160434	ECB_00315	354140	355102	+	320	COG4521P	taurine transporter substrate binding subunit
1183326	254160435	ECB_00316	355115	355882	+	255	COG4525P	taurine transporter ATP-binding subunit
1183326	254160436	ECB_00317	355879	356706	+	275	COG0600P	taurine transporter subunit
1183326	254160437	ECB_00318	356703	357554	+	283	COG2175Q	taurine dioxygenase
1183327	254160440	ECB_00321	359158	362064	+	968	COG3468MU	hypothetical protein
1183327	254160441	ECB_00322	362107	362775	+	222	COG0664T	putative DNA-binding transcriptional regulator
1183328	254160443	ECB_00324	364285	365505	+	406	COG1133I	transport protein
1183328	254160444	ECB_00325	365518	366612	+	364	-	putative DNA-binding transcriptional regulator
1183329	254160454	ECB_00335	374051	374575	+	174	COG0703E	shikimate kinase II
1183329	254160455	ECB_00336	374625	374816	+	63	-	hypothetical protein
1183330	254160456	ECB_00337	375074	375751	+	225	-	hypothetical protein
1183330	254160457	ECB_00338	375823	376107	+	94	COG3123S	hypothetical protein
1183331	254160459	ECB_00340	376764	377267	-	167	COG1662L	IS1 protein InsB
1183331	254160460	ECB_00341	377186	377461	-	91	COG3677L	IS1 protein InsA
1183332	254160464	ECB_00345	381030	384176	-	1048	COG0419L	exonuclease subunit SbcC
1183332	254160465	ECB_00346	384173	385375	-	400	COG0420L	exonuclease subunit SbcD
1183333	254160466	ECB_00347	385565	386254	+	229	COG0745TK	transcriptional regulator PhoB
1183333	254160467	ECB_00348	386312	387607	+	431	COG5002T	phosphate regulon sensor protein
1183334	254160468	ECB_00349	388014	389333	+	439	COG1114E	putative branched chain amino acid transporter (LIV-II)
1183334	254160469	ECB_00350	389409	390782	+	457	COG1113E	putative proline-specific permease
1183335	254160471	ECB_00353	393434	394504	+	356	COG0809J	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
1183335	254160472	ECB_00354	394560	395687	+	375	COG0343J	queuine tRNA-ribosyltransferase
1183335	254160473	ECB_00355	395710	396042	+	110	COG1862U	preprotein translocase subunit YajC
1183335	254160474	ECB_00356	396070	397917	+	615	COG0342U	preprotein translocase subunit SecD
1183335	254160475	ECB_00357	397928	398899	+	323	COG0341U	preprotein translocase subunit SecF
1183336	254160479	ECB_00361	401424	401873	+	149	COG1327K	transcriptional regulator NrdR
1183336	254160480	ECB_00362	401877	402980	+	367	COG0117H	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
1183336	254160481	ECB_00363	403069	403539	+	156	COG0054H	6,7-dimethyl-8-ribityllumazine synthase
1183336	254160482	ECB_00364	403559	403978	+	139	COG0781K	transcription antitermination protein NusB
1183337	254160483	ECB_00365	404056	405033	+	325	COG0611H	thiamine monophosphate kinase
1183337	254160484	ECB_00366	405011	405529	+	172	COG1267I	phosphatidylglycerophosphatase A
1183338	254160486	ECB_00368	406737	408599	-	620	COG1154HI	1-deoxy-D-xylulose-5-phosphate synthase
1183338	254160487	ECB_00369	408624	409523	-	299	COG0142H	geranyltranstransferase
1183338	254160488	ECB_00370	409523	409765	-	80	COG1722L	exodeoxyribonuclease VII small subunit
1183339	254160490	ECB_00372	411473	412063	-	196	COG0693R	DJ-1 family protein
1183339	254160491	ECB_00373	412026	412937	-	303	COG1893H	2-dehydropantoate 2-reductase
1183340	254160495	ECB_00377	416496	417038	-	180	COG0456R	putative acetyltransferase
1183340	254160496	ECB_00378	417022	417399	-	125	COG4453S	hypothetical protein
1183341	254160497	ECB_00379	417518	418408	-	296	COG0109O	protoheme IX farnesyltransferase
1183341	254160498	ECB_00380	418420	418749	-	109	COG3125C	cytochrome o ubiquinol oxidase subunit IV
1183341	254160499	ECB_00381	418749	419363	-	204	COG1845C	cytochrome o ubiquinol oxidase subunit III
1183341	254160500	ECB_00382	419353	421344	-	663	COG0843C	cytochrome o ubiquinol oxidase subunit I
1183341	254160501	ECB_00383	421366	422313	-	315	COG1622C	cytochrome o ubiquinol oxidase subunit II
1183342	254160502	ECB_00384	422775	424250	-	491	COG2814G	muropeptide transporter
1183342	254160503	ECB_00385	424294	424872	-	192	COG3056M	hypothetical protein
1183343	254160506	ECB_00388	427382	428005	+	207	COG0740OU	ATP-dependent Clp protease proteolytic subunit
1183343	254160507	ECB_00389	428131	429405	+	424	COG1219O	ATP-dependent protease ATP-binding subunit ClpX
1183344	254160514	ECB_00396	436919	437614	-	231	COG0603R	queuosine biosynthesis protein QueC
1183344	254160515	ECB_00397	437679	439379	-	566	COG4533R	putative transporter subunit periplasmic-binding component of ABC superfamily
1183345	254160517	ECB_00399	440450	440908	+	152	COG1522K	putative DNA-binding transcriptional regulator
1183345	254160518	ECB_00400	440938	442710	+	590	COG1132V	putative multidrug transporter membrane\ATP-binding proteins
1183345	254160519	ECB_00401	442703	444484	+	593	COG1132V	putative multidrug transporter membrane\ATP-binding proteins
1183346	254160520	ECB_00402	444665	445003	+	112	COG0347E	nitrogen regulatory protein P-II 2
1183346	254160521	ECB_00403	445033	446319	+	428	COG0004P	ammonium transporter
1183347	254160529	ECB_00411	452157	452375	-	72	-	hemolysin expression-modulating protein
1183347	254160530	ECB_00412	452401	452775	-	124	-	hypothetical protein
1183348	254160531	ECB_00413	453321	456470	-	1049	COG0841V	multidrug efflux system protein
1183348	254160532	ECB_00414	456493	457686	-	397	COG0845M	multidrug efflux system
1183349	254160535	ECB_00417	462177	462338	-	53	-	hypothetical protein
1183349	254160536	ECB_00418	462352	462879	-	175	COG3923L	primosomal replication protein N''
1183350	254160538	ECB_00420	463479	464030	+	183	COG0503F	adenine phosphoribosyltransferase
1183350	254160539	ECB_00421	464159	466090	+	643	COG2812L	DNA polymerase III subunits gamma and tau
1183350	254160540	ECB_00422	466143	466472	+	109	COG0718S	hypothetical protein
1183350	254160541	ECB_00423	466472	467077	+	201	COG0353L	recombination protein RecR
1183351	254160554	ECB_00436	483809	484741	+	310	COG2066E	glutaminase
1183351	254160555	ECB_00437	484744	486036	+	430	COG1113E	putative transporter
1183352	254160557	ECB_00439	486569	487024	-	151	COG1585OU	inner membrane protein
1183352	254160558	ECB_00440	487024	487941	-	305	COG0330O	putative protease, membrane anchored
1183353	254160559	ECB_00441	488087	488764	+	225	COG4619R	putative ABC transporter ATP-binding protein YbbL
1183353	254160560	ECB_00442	488751	489530	+	259	COG0390R	putative inner membrane protein
1183354	254160561	ECB_00443	489593	490447	-	284	COG3118O	putative thioredoxin domain-containing protein
1183354	254160562	ECB_00444	490508	491317	-	269	COG0300R	short chain dehydrogenase
1183354	254160563	ECB_00445	491307	491933	-	208	COG2755E	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1
1183355	254160564	ECB_00446	491901	492587	+	228	COG4181Q	putative ABC transporter ATP-binding protein YbbA
1183355	254160565	ECB_00447	492584	494998	+	804	COG3127Q	putative inner membrane protein
1183356	254160567	ECB_00449	499748	500116	+	122	-	hypothetical protein
1183356	254160568	ECB_00450	500116	500826	+	236	COG3209M	hypothetical protein
1183356	254160569	ECB_00451	500807	501067	+	86	-	hypothetical protein
1183357	254160571	ECB_00453	502298	503392	-	364	COG2603R	tRNA 2-selenouridine synthase
1183357	254160572	ECB_00454	503461	504387	-	308	COG0583K	DNA-binding transcriptional activator AllS
1183358	254160573	ECB_00455	504617	505099	+	160	COG3194F	ureidoglycolate hydrolase
1183358	254160574	ECB_00456	505177	505992	+	271	COG1414K	DNA-binding transcriptional repressor AllR
1183359	254160575	ECB_00457	506082	507863	+	593	COG3960R	glyoxylate carboligase
